age,gender,ed_level,"1. Маша уже три часа делает домашнее задание. Когда ______ сделает его, она пойдёт в кино.","2. В холодильнике есть овощи и яйца. Утром Витя приготовит себе завтрак, если _____ проснётся вовремя. ","4. У Оли завтра будет экзамен. Хотя _____ хочет спать, она читает учебник.","6. Вчера Илья пробежал целых 10 километров. Илья очень устал, из-за того что ______ в первый раз пробежал так много.","7. В аэропорту Вику встретил папа. она улыбнулась, когда _____ увидела его.","10. Сегодня у Кати день рождения. она заказала большую пиццу, хотя ________ была на диете.","13. Лера обычно ходит в лес, когда ______ хочет побыть одна.","15. Гоша хочет учить английский язык. Если ______ выучит английский, он сможет путешествовать по всему миру.","17. Вчера вечером Костя пел нам свои песни. Из-за того что ______ громко пел, он не услышал звонок телефона.","18. Лиза поехала жить в Нью-Йорк, хотя ______ всегда мечтала жить в Париже.","22. Дети разбили любимую кружку Вовы. он расстроится, если _____ узнает об этом.","24. Аня недавно заболела. Вчера она не пошла к врачу, из-за того что ______ должна была прийти в университет."
20,Женщина.,Студент/Неоконченное высшее,pr,null,pr,null,null,null,null,pr,pr,null,null,null
20,Женщина.,Студент/Неоконченное высшее,pr,null,pr,null,null,null,null,pr,pr,null,null,null
22,Женщина.,Высшее (одно и больше),null,pr,pr,null,null,null,null,null,np,pr,null,null
20,Женщина.,Студент/Неоконченное высшее,pr,null,pr,null,null,null,null,pr,pr,null,null,null
20,Женщина.,Студент/Неоконченное высшее,pr,null,np,null,null,null,null,pr,pr,null,null,null
21,Мужчина,Студент/Неоконченное высшее,pr,null,np,pr,null,pr,null,pr,pr,null,null,null
21,Женщина.,Студент/Неоконченное высшее,pr,null,np,null,null,null,null,pr,pr,null,null,null
23,Женщина.,Студент/Неоконченное высшее,null,null,np,pr,null,null,null,null,null,pr,null,null
21,Женщина.,Студент/Неоконченное высшее,pr,null,pr,null,null,null,pr,pr,pr,pr,null,null
21,Женщина.,Студент/Неоконченное высшее,null/pr,null,pr,null,null,null,null,pr?,np/pr,null,null,null
31,Женщина.,Высшее (одно и больше),pr,null,pr,null,null,null,null,null,pr,null,null,null
21,Женщина.,Студент/Неоконченное высшее,null,null,pr,null,null,null,null,null,np,null,null,null
20,Женщина.,Среднее профессиональное,np,null,np,pr,null,null,null,pr,pr,null,null,null
20,Женщина.,Среднее профессиональное,pr?,null,pr?,null,null,null,null,np,pr,pr,null,null
24,Женщина.,Студент/Неоконченное высшее,np,pr,np,pr,null,null,pr,np,other,pr,null,np
20,Женщина.,Студент/Неоконченное высшее,pr,null,pr,null,null,null,null,pr,pr,null,null,null
22,Женщина.,Среднее общее,null,null,null,pr,null,null,pr,null,null,null,null,null
21,Женщина.,Студент/Неоконченное высшее,null,null,pr,null,null,null,null,null,pr,null,null,null
23,Женщина.,Студент/Неоконченное высшее,pr,null,np,null,null,null,null,pr,pr,null,null,null
21,Женщина.,Студент/Неоконченное высшее,pr,null ,pr,null ,null,null,null ,null,null ,null,null,null
