Age;Gender;Education;Conjunction;RefDevice;ClOrder;Choice
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;sm;null
22;Женщина.;Высшее (одно и больше);если;np;ms;pr
22;Женщина.;Высшее (одно и больше);хотя;pr;sm;pr
22;Женщина.;Высшее (одно и больше);из-за того что;np;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;ms;null
22;Женщина.;Высшее (одно и больше);хотя;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;np;ms;null
22;Женщина.;Высшее (одно и больше);если;pr;sm;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;sm;np
22;Женщина.;Высшее (одно и больше);хотя;np;ms;pr
22;Женщина.;Высшее (одно и больше);если;pr;ms;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
